timestamp,sim_time_s,mission_phase,rpm,load,cooling_efficiency,cht,expected_cht,residual,engine_health_index,health_status,oil_temperature,oil_pressure,fuel_flow,vibration,fault_type
2026-09-09T09:16:34,1,IDLE,2010,0.2,1.0,115.84,116.62,-0.78,100,NORMAL,70.09,2.93,7.8,0.196,NORMAL
2026-09-09T09:16:35,2,IDLE,1827,0.2,1.0,113.3,113.21,0.08,100,NORMAL,69.4,2.89,7.37,0.203,NORMAL
2026-09-09T09:16:35,3,IDLE,2029,0.2,1.0,110.83,110.55,0.28,100,NORMAL,69.37,3.08,8.18,0.215,NORMAL
2026-09-09T09:16:36,4,IDLE,1827,0.2,1.0,108.18,107.75,0.43,100,NORMAL,69.45,2.77,7.84,0.232,NORMAL
2026-09-09T09:16:36,5,IDLE,2018,0.2,1.0,105.55,105.61,-0.06,100,NORMAL,69.07,3.09,7.8,0.213,NORMAL
2026-09-09T09:16:37,6,IDLE,1810,0.2,1.0,103.91,103.27,0.64,100,NORMAL,68.96,3.0,7.76,0.222,NORMAL
2026-09-09T09:16:37,7,IDLE,2039,0.2,1.0,101.96,101.62,0.34,100,NORMAL,68.96,3.12,8.15,0.242,NORMAL
2026-09-09T09:16:37,8,IDLE,1845,0.2,1.0,99.44,99.75,-0.31,100,NORMAL,68.36,2.97,7.85,0.249,NORMAL
2026-09-09T09:16:38,9,IDLE,2069,0.2,1.0,97.7,98.51,-0.82,100,NORMAL,67.97,2.97,8.22,0.212,NORMAL
2026-09-09T09:16:38,10,IDLE,1862,0.2,1.0,95.96,96.98,-1.02,100,NORMAL,68.06,2.99,7.83,0.194,NORMAL
2026-09-09T09:16:38,11,TAKEOFF,2072,1.0,1.0,96.85,98.43,-1.58,100,NORMAL,68.97,2.94,12.07,0.329,NORMAL
2026-09-09T09:16:39,12,TAKEOFF,2282,1.0,1.0,99.11,100.15,-1.04,100,NORMAL,69.43,3.09,12.72,0.273,NORMAL
2026-09-09T09:16:39,13,TAKEOFF,2504,1.0,1.0,100.27,102.14,-1.88,100,NORMAL,70.09,3.18,12.83,0.327,NORMAL
2026-09-09T09:16:40,14,TAKEOFF,2730,1.0,1.0,103.14,104.39,-1.25,100,NORMAL,70.75,3.36,13.69,0.309,NORMAL
2026-09-09T09:16:40,15,TAKEOFF,2909,1.0,1.0,105.17,106.77,-1.6,100,NORMAL,71.49,3.47,13.68,0.305,NORMAL
2026-09-09T09:16:40,16,TAKEOFF,3136,1.0,0.98,108.17,109.36,-1.19,100,NORMAL,72.44,3.72,14.05,0.3,COOLING_DEGRADATION
2026-09-09T09:16:40,17,TAKEOFF,3354,1.0,0.96,110.32,112.13,-1.82,100,NORMAL,73.2,3.72,14.88,0.295,COOLING_DEGRADATION
2026-09-09T09:16:41,18,TAKEOFF,3528,1.0,0.94,113.35,114.98,-1.63,100,NORMAL,74.5,3.75,14.91,0.303,COOLING_DEGRADATION
2026-09-09T09:16:41,19,TAKEOFF,3758,1.0,0.92,115.88,118.0,-2.12,100,NORMAL,75.97,3.93,15.54,0.286,COOLING_DEGRADATION
2026-09-09T09:16:41,20,TAKEOFF,3969,1.0,0.9,119.31,121.13,-1.83,100,NORMAL,77.02,3.88,15.64,0.313,COOLING_DEGRADATION
2026-09-09T09:16:42,21,CLIMB,4185,0.8,0.88,122.15,123.79,-1.64,100,NORMAL,78.18,4.0,15.62,0.302,COOLING_DEGRADATION
2026-09-09T09:16:42,22,CLIMB,4374,0.8,0.86,126.33,126.56,-0.23,100,NORMAL,79.37,4.1,15.67,0.26,COOLING_DEGRADATION
2026-09-09T09:16:42,23,CLIMB,4593,0.8,0.84,130.77,129.49,1.28,100,NORMAL,81.02,4.33,16.18,0.257,COOLING_DEGRADATION
2026-09-09T09:16:42,24,CLIMB,4786,0.8,0.82,135.14,132.51,2.63,100,NORMAL,82.57,4.34,16.31,0.303,COOLING_DEGRADATION
2026-09-09T09:16:42,25,CLIMB,5016,0.8,0.8,138.01,135.69,2.32,100,NORMAL,84.05,4.6,17.32,0.282,COOLING_DEGRADATION
